"Zone","Population","Waste_Generated_kg","Recycled_kg","Organic_Percent","Plastic_Percent","Collection_Frequency","Smart_Bins_Used","Complaint_Count","Sensor_Failure_Rate"
"North",11315,1163.2,771,29.1,16,2,"No",20,0.22
"South",10501,3205.3,3858.7,81.7,8.1,7,"Yes",20,0.06
"West",11372,2402.7,695,31,36.4,3,"Yes",17,0.02
"West",9070,4910.8,3961.3,53.4,20.2,1,"No",22,0.1
"North",13640,3639,317.1,72.9,46.4,5,"Yes",11,0.09
"South",8555,5024.4,598.3,75,52,4,"No",15,0.12
"South",10093,6305.5,834,11.2,22.9,4,"No",21,0.18
"West",6271,445,2917.2,16,18.4,3,"No",17,0.08
"East",13137,3246.9,2779.7,68.7,47.8,2,"No",30,0.2
"East",10869,4062.8,2122,84.4,12.3,4,"No",0,0.22
"East",8768,1067.7,1371.5,31,36.1,6,"No",26,0.15
"North",6919,6996.8,503.6,63.3,43.1,6,"No",25,0.02
"East",8081,6961,926.8,73.7,26.3,5,"Yes",30,0.06
"North",8127,4865,420.9,27.9,48.4,2,"No",29,0
"North",13640,542,3634.3,76.2,27.3,3,"No",0,0.14
"North",6232,4478.6,936.1,60.2,52.5,5,"No",0,0.06
"West",10458,5691.4,1890.7,40.2,48,4,"Yes",17,0.01
"North",14530,2064.3,3338.2,84.9,50.5,6,"Yes",10,0.1
"North",7832,3781.1,3468,79.3,6.3,6,"Yes",20,0.08
"West",6365,707,627.8,52.6,15.4,4,"No",1,0.04
"East",11423,6256.2,1407.6,79.1,52.7,4,"Yes",10,0.2
"North",11589,6044.9,3004.9,54,45.8,3,"No",28,0.03
"South",6915,1261.1,1478.3,46.5,55.5,7,"Yes",14,0.08
"South",14386,4802.3,2845.1,67.8,9,4,"Yes",23,0.22
"North",9971,572,585.2,37.1,18.2,4,"No",5,0.19
"North",10027,6830.4,1161.1,35.6,20.3,6,"No",25,0.02
"North",7646,7515,2738.1,44.1,39.1,7,"Yes",2,0.08
"East",6434,7958.9,3201.9,75.3,50.1,7,"Yes",10,0.01
"North",9681,648.9,1152.8,37.1,51.2,7,"No",9,0.19
"South",10241,561,118,18.3,29.3,5,"No",3,0.2
"North",9552,3178,2351.3,12.4,57.4,4,"No",3,0.25
"North",7759,2265.5,3318.5,83.7,51.7,4,"Yes",15,0.06
"North",13569,5177.5,2434.7,28.1,16.2,5,"No",4,0.25
"West",5162,1527.5,2706.6,55.7,26.1,4,"No",10,0.06
"South",14273,2627.2,2556.4,62,46.1,7,"No",19,0.02
"East",5465,3669.1,3970.1,71.7,6.3,7,"No",30,0.19
"West",9517,1814.3,3556.6,63.1,41.7,7,"No",12,0.23
"West",13994,1173.5,1916.6,44.8,7.7,4,"No",6,0
"South",10813,3205.3,1763.5,49.7,17.1,2,"No",4,0.01
"East",11789,2183.2,970.7,19.5,47.2,3,"Yes",28,0.22
"North",5598,934,2696.6,68.9,34.9,2,"Yes",3,0.06
"South",14299,6187.2,2604.3,84,10.3,4,"No",19,0.18
"South",14173,1145.5,3006.7,77.4,32.4,7,"Yes",15,0.13
"West",9924,7972.6,819,83.6,20.5,7,"No",25,0.18
"South",14181,6195.8,3362,27.3,57.4,2,"Yes",10,0.23
"West",14299,2627.2,2595.7,67.9,18.5,5,"No",11,0.19
"East",5133,963.5,1369,23.5,39.8,3,"Yes",21,0.14
"North",5785,3813.7,1077.9,68.7,26.1,5,"Yes",2,0.07
"South",5645,3813.7,1859.9,29.3,52.4,1,"No",19,0.06
"South",8423,4631.4,732.5,75,11.9,5,"No",12,0.07
"South",6830,6338.6,1669.1,15.1,37.1,5,"Yes",24,0.08
"North",12069,5087.9,3991,68.8,34.4,4,"Yes",9,0.24
"East",6742,4997.9,1917.9,15.4,38.2,5,"Yes",25,0.09
"South",6441,6058,2844.5,54.2,26.8,4,"Yes",19,0.13
"West",8826,6444.4,3298.6,18.1,13.3,3,"Yes",14,0.24
"East",8139,6961,2774.8,82.2,26.8,3,"Yes",2,0.08
"North",11482,7129.4,560,61.1,43.1,7,"No",2,0.14
"North",6364,2960.2,1885.6,60.7,40.4,7,"No",6,0.02
"West",13162,4315.1,2595.7,11,7.1,6,"No",28,0.22
"West",10422,5053.6,911.5,47.8,16.6,4,"Yes",28,0.13
"South",6445,6813.7,1327.3,61.3,33.2,5,"No",27,0.15
"South",13286,2832.7,1329.7,29.1,36,6,"No",19,0.01
"North",14486,955,3338.2,44.7,9.4,5,"No",22,0.03
"West",14299,5910.7,3073.6,67.8,26.1,4,"Yes",6,0.24
"North",6257,976.8,2852.8,22.6,55.6,5,"Yes",10,0.15
"South",14637,6250.5,3537.6,59.3,56.5,3,"No",23,0.11
"East",12778,7815.6,3009.1,53.4,49.9,1,"No",14,0.12
"North",9566,2612.7,2488.4,41.6,29.9,7,"No",17,0.19
"North",8293,2179.3,1577.3,69.7,26.3,7,"Yes",11,0.08
"South",9438,4808.9,669,25.2,15,5,"Yes",15,0.1
"West",7209,5507.7,2247.7,21.4,28.1,3,"No",10,0.12
"East",14270,6463.9,663.6,47.3,6.6,7,"No",17,0.01
"East",13184,528.1,705.5,19.5,25.9,6,"Yes",15,0.11
"East",9760,6790.4,3361.1,51,54.5,3,"Yes",15,0.08
"West",12718,1215.1,1018.5,25.4,7.4,5,"Yes",0,0.14
"West",5480,5095.8,3866.6,72.6,11.8,6,"No",29,0.21
"North",10410,5330.8,3838.6,56.7,22.1,2,"Yes",2,0.13
"North",5458,3528.7,1859.9,32.6,26.4,4,"Yes",6,0.14
"North",8127,4865,420.9,25.9,38.4,4,"No",17,0.22
"East",12422,7857.9,2206.8,53.4,11.6,1,"No",11,0.01
"North",13640,7921.9,3009.1,83.6,56.5,6,"Yes",25,0.03
"West",5075,6808.8,1142.7,59.5,29.2,1,"No",17,0.18
"South",8583,5884.3,3457.7,75.9,37.5,6,"Yes",16,0.24
"South",7592,768.5,1361.9,23.3,36.1,3,"No",3,0.14
"East",12656,500,1582,76.4,38.8,5,"Yes",25,0.23
"South",9943,6305.5,741.7,11.2,19.7,6,"No",19,0.17
"West",8256,1774,1089.8,82.1,27,4,"No",24,0.22
"North",10607,2095.9,3868.4,72.3,42,2,"No",3,0.01
"West",8199,2282.8,1114.2,25.9,16.6,2,"No",0,0.13
"West",6657,4779.2,1556.4,68.7,15.1,7,"Yes",15,0.04
"East",10002,6866.4,3749.5,88.6,54.9,5,"Yes",30,0.13
"North",14973,6742.3,2046.5,29,57.2,7,"Yes",11,0.18
"South",11919,3581.5,3449.5,65.9,8.1,1,"Yes",26,0.1
"West",5576,7996.3,2938.5,83.6,20.5,6,"Yes",6,0.13
"South",10501,3632,1455.8,87.7,50.8,4,"No",25,0.13
"North",14447,955,1381.6,63.1,15.8,1,"No",25,0.01
"East",10002,752.4,1795.8,74.2,7.9,5,"No",20,0.02
"East",14841,4058.8,1720.6,27.3,46,6,"No",30,0.02
"South",13811,2108.7,2972.4,77.4,36.2,2,"No",28,0.24
"North",8370,6589.9,2738.1,27.2,54.9,1,"Yes",19,0.15
"South",11089,3851.2,3912.7,36.8,17.6,1,"No",3,0.01
"East",14422,2766.7,1194.3,75.3,52.6,4,"No",28,0.01
"East",9373,2694.9,696.7,10.9,8.6,3,"No",12,0.18
"East",7578,3319.9,2143.3,25.5,27.3,2,"No",9,0.09
"South",6962,6233.6,1536.3,47.5,30.8,2,"No",30,0.03
"North",8317,3862.8,3468,22.6,59.1,2,"No",6,0.03
"North",10027,572,585.2,21.5,12.6,5,"Yes",14,0.09
"East",9488,7041.6,296.5,88.9,51.3,6,"No",29,0.06
"North",8164,1585.7,3318.5,32.4,55.5,6,"No",21,0.08
"East",8139,6961,2774.8,73.6,16.9,1,"No",16,0.05
"West",8826,6444.4,1053.3,12.3,11.1,4,"No",25,0.24
"West",5250,6808.8,780.5,89,16.3,7,"Yes",17,0.03
"South",7791,2541.3,1886.1,68.2,26.4,6,"No",17,0.19
"West",12031,5881.4,464.3,12.3,28.1,2,"Yes",24,0.14
"South",8803,785.8,2753.9,29.5,36.1,4,"Yes",4,0.12
"West",13311,6744.7,1278.6,89,11.2,5,"No",27,0.12
"West",9517,3152.8,3848.1,88.6,27,1,"No",27,0.19
"West",5269,6808.8,1354.4,89,20.5,4,"No",3,0.24
"South",6445,6345.9,3201.9,54.2,27.3,4,"Yes",5,0.13
"West",13432,1673.6,1916.6,41.3,25.3,1,"Yes",1,0.14
"South",5605,5930.5,1849.4,23.5,38,4,"Yes",23,0.04
"West",6819,1261.1,113.8,18.8,55.5,6,"Yes",5,0.08
"North",9674,3521.8,2122.7,74.9,11.6,4,"No",10,0.22
"West",8256,7933.9,2200,75.3,7.5,4,"No",18,0.01
"North",14047,3557.3,3636.1,77.5,23.2,6,"No",6,0.23
"West",9398,5010.5,2444.4,16.2,27.2,2,"Yes",18,0.13
"South",12700,1128.6,1006.9,58.8,34,7,"No",1,0.19
"North",14011,5296.4,247.2,46.3,12,4,"No",14,0.13
"North",9290,6802.1,2434.5,89,26.4,5,"Yes",0,0.1
"East",14217,7748.6,3379.5,43.8,41.9,6,"No",0,0.01
"South",13840,4514.2,2410.2,66.9,26.5,6,"Yes",11,0.12
"West",9924,4777,911.5,25.2,23.2,4,"No",2,0.13
"North",8370,6589.9,2738.1,28.2,59.4,2,"Yes",28,0.02
"East",9488,7041.6,3102.3,73.7,30.4,5,"Yes",15,0.04
"West",6608,6507,1053.3,45.6,19.7,3,"Yes",10,0.12
"West",5611,3888.2,3970.1,68.8,41.7,1,"No",22,0.1
"East",14270,6050.3,2556.4,23.8,36.2,4,"Yes",1,0.11
"East",5406,3815.2,1978.4,86.8,33.2,4,"Yes",18,0.14
"West",12195,6237.1,1484.4,83.3,28.1,4,"Yes",19,0.16
"West",13432,623.1,585.2,10.8,25.9,5,"Yes",0,0.2
"South",14120,4137.5,3853.3,77.5,34.4,1,"No",9,0.24
"West",9070,3307,3556.6,28.5,59.1,6,"Yes",24,0.25
"East",9912,4770.1,3864.2,48.4,14.4,5,"Yes",30,0.11
"East",8139,4043.2,3749.5,38.9,44.5,7,"No",29,0.17
"West",12876,7034.5,294.6,88,53.8,4,"Yes",26,0.24
"North",11464,7168.5,560,82.6,43.1,7,"Yes",16,0.17
"North",14847,1689.6,2712.5,62,15.8,4,"No",3,0.25
"East",8235,7933.9,2774.8,83.8,16.9,2,"No",2,0.05
"West",5250,2276,1910.2,87,19.9,4,"No",24,0.22
"East",5190,5026.6,2033.8,43.4,51,2,"Yes",19,0.11
"North",6315,4478.6,636.1,68.7,25.9,5,"No",0,0.14
"South",8715,5884.3,3457.7,51,49.9,2,"Yes",11,0.1
"West",8145,4865,1114.2,71.9,11.8,2,"No",18,0.07
"West",9013,804.9,3366.3,51,25.8,3,"Yes",19,0.14
"South",6710,3093.8,805.4,83.9,57,1,"Yes",2,0.01
"East",6434,6058,1192.6,35,8,5,"Yes",20,0.13
"West",5078,5095.8,3072.9,28.7,44.5,7,"Yes",6,0.08
"West",14662,6250.5,1278.6,75.3,20.5,1,"No",6,0.12
"West",6947,6233.6,1053.3,46.5,15.5,1,"Yes",14,0.06
"West",5838,3888.2,1077.9,68.7,15.1,7,"No",28,0.12
"East",8690,6444.4,551.1,46.3,57.9,7,"Yes",14,0.12
"West",12689,4602.9,3962.7,84.1,11.2,2,"Yes",26,0.03
"South",6962,7877.4,3415.1,40,30.8,2,"Yes",23,0.15
"North",5600,1311.6,1901.7,60.7,26.2,5,"Yes",6,0.18
"West",13856,4557.1,2595.7,83.8,11.8,1,"No",23,0.06
"North",10976,1522.1,656.3,31,25.6,3,"No",27,0.11
"West",5162,6995.4,2938.5,64.1,26.1,7,"No",13,0.21
"East",12130,5087.9,1974.5,47.7,47.2,4,"Yes",19,0.01
"South",10218,6555.4,1079.6,48.8,19.7,3,"Yes",27,0.21
"North",9681,648.9,2753.9,55.7,23.3,2,"Yes",10,0.2
"North",11215,3422.7,879,46.3,45.9,2,"Yes",29,0.2
"West",9008,2900.7,683.9,25.4,16.9,3,"No",0,0.14
"South",14637,3179.7,2723,84.6,15.5,2,"No",16,0.24
"South",13391,6815.7,3728.4,80.4,58.7,5,"No",5,0.12
"West",6396,445,3730.2,62.9,33.1,4,"No",16,0.08
"North",11151,6573,2339.3,87.7,30,4,"Yes",25,0.16
"North",10959,2984.5,246.4,33.8,48.4,6,"No",25,0.12
"North",6463,6058,2136.7,75.5,12.3,2,"Yes",18,0.02
"North",9674,1890,894.1,31,7.5,2,"No",3,0.25
"West",5480,2276,3866.6,79.6,51.4,1,"Yes",16,0.08
"South",12700,5306.5,1196.1,29.9,42,7,"No",25,0.22
"West",9060,4659.6,683.9,60.2,28.3,7,"No",18,0.01
"East",11221,5404.8,3912.7,11.2,48,1,"No",17,0.07
"East",8126,775.3,2902,17.8,39.1,4,"No",15,0.15
"West",5611,7026,1628.2,37.2,41.6,3,"Yes",19,0.14
"North",14486,6489.1,1718.8,28.2,56.2,5,"Yes",10,0.2
"West",6657,2075.7,2700.5,27.5,38.8,4,"Yes",1,0.24
"South",5318,2602.4,1708.4,22.5,45.2,4,"No",27,0.17
"West",8695,1678.8,3524,23.9,32.4,6,"No",29,0.12
"East",14586,7480.8,2895.2,62.6,9,1,"Yes",8,0.21
"West",7976,3781.1,1089.8,27.9,16.9,2,"Yes",15,0.06
"West",5788,6543.8,534.8,15.9,14.2,6,"No",29,0.02
"South",10813,5963.8,1763.5,35.3,9.2,3,"No",1,0.15
"North",6919,6683.9,3146,39.6,39.1,7,"No",19,0.01
"South",14003,4247.5,247.2,58.6,34.6,3,"No",14,0.04
"South",12041,3309.9,2816.2,36.9,44.1,4,"No",15,0.09
"East",9312,2694.9,1541.6,80.7,48.7,1,"No",14,0.19
"North",7076,2085,140.1,18.8,15,7,"No",17,0.04
"South",12487,6760.1,1407.6,78.5,55.7,7,"No",6,0.07
"North",6552,5313.7,402.8,21.3,43.2,2,"Yes",0,0.2
"South",7893,3977.9,1886.1,75.5,49.9,6,"No",26,0.19
"East",10719,3049.7,2122,23.3,7,5,"No",20,0
"North",6315,2960.2,2852.8,83.7,6.3,3,"No",26,0.19
"East",12631,3793.5,879,27.7,16.8,2,"No",28,0.2
"East",12130,7598.7,3009.1,23.9,5.7,6,"Yes",26,0.06
"East",12391,1221.4,1575.2,11.9,44.1,4,"Yes",30,0.21
"North",12845,6566.6,699.7,69.5,58.2,2,"Yes",29,0.12
"South",13636,3552.1,1377.1,29.9,41.5,4,"No",19,0
"West",9517,4155.2,3848.1,48.4,12.6,1,"Yes",22,0.1
"South",8555,5884.3,551.1,55,11.9,7,"Yes",9,0.18
"West",12876,7034.5,1611.1,74.8,20.5,2,"No",22,0.15
"West",5788,7026,534.8,88,20.5,7,"No",29,0.24
"North",8164,1253.3,1228.9,66.7,34.9,7,"No",9,0.08
"South",6552,3628.4,468.6,78.6,19.7,2,"No",0,0.07
"South",5318,963.5,2473.5,68.9,34.8,1,"Yes",4,0.12
"North",11482,6256.2,450.1,63.6,46.4,3,"Yes",9,0.1
"West",6657,4430,1045.3,23.5,23.2,6,"Yes",14,0.22
"West",11909,1009.4,919,31,55.7,5,"No",15,0.18
"East",7800,404.1,2917.2,46.2,57.1,4,"No",1,0.06
"West",11372,2402.7,3076.1,81.2,23.7,3,"Yes",19,0.14
"East",7833,775.3,1795.8,69.7,12.2,7,"No",6,0.05
"East",5160,4322.6,1369,56.9,25.9,7,"No",12,0.21
"West",9008,804.9,3809.7,43.1,10.2,5,"Yes",17,0.08
"South",14181,1351.1,3397.4,84.9,55.3,7,"Yes",21,0.03
"West",5078,3707.1,1369,23.5,26.4,7,"Yes",29,0.12
"West",9041,5944.4,3684.2,82.8,20.6,2,"Yes",26,0.19
"North",9618,3521.8,3368,37.8,7,2,"Yes",26,0.1
"South",5203,2602.4,2473.5,55.3,50.5,6,"Yes",0,0.12
"North",14973,6742.3,965.2,35.6,15.5,6,"Yes",11,0.08
"East",6552,710.1,538.3,86.8,18.5,2,"No",4,0.04
"North",6315,976.8,1104.8,61.6,15.8,4,"No",21,0.06
"East",12116,7598.7,3958.7,28.5,51.9,4,"Yes",30,0.06
"North",13538,2179.8,1629,36,22.9,6,"No",11,0.21
"South",8583,4631.4,1094.2,46.3,7.2,7,"No",12,0.12
"North",9552,3652.6,2122.7,80.7,11.6,7,"Yes",17,0.16
"East",12645,3793.5,2215.2,11.9,50.1,6,"Yes",26,0.14
"South",6393,4988,1721.6,43.4,33.1,7,"No",27,0.17
"South",10175,6305.5,3146.2,17.9,42,7,"Yes",13,0.07
"South",13811,4514.2,2448.2,25.9,16.9,6,"Yes",19,0.07
"South",9014,2562.8,669,33.8,38.4,6,"No",18,0.01
"West",8570,5098.1,3524,30.7,43.7,5,"No",24,0.2
"South",13811,7506.5,1274.9,88.4,45.4,2,"No",21,0.15
"South",14735,1745.7,965.2,62,34.8,7,"No",3,0.23
"East",11423,1856.1,727.8,19.5,10.1,2,"No",14,0.18
"South",8841,2505.4,2135.1,75.5,30,7,"Yes",15,0.24
"North",14918,1689.6,1720.6,88.8,18.5,2,"Yes",12,0.2
"North",11151,882.8,771,73.9,7.9,1,"No",25,0.21
"North",12215,7399.4,171.4,61.1,10.2,3,"No",8,0.2
"North",5835,1869.2,681.8,35.6,30.3,4,"Yes",19,0.03
"West",6229,7026,1280.4,73.5,17.5,1,"Yes",25,0.19
"West",9070,4659.6,3556.6,28.5,25.2,3,"No",30,0.05
"West",9041,4589.7,3366.3,22.6,47.2,1,"Yes",13,0.05
"East",9519,3178,1512.8,39.9,12.8,1,"Yes",2,0.22
"East",14722,7480.8,1720.6,62.7,39.9,3,"Yes",17,0.01
"South",14459,5910.7,2509.3,46.4,15.3,5,"Yes",4,0.19
"North",12215,5087.9,3123.9,12.5,57.4,3,"No",19,0.2
"East",13137,3674.7,734.7,26.4,45.5,4,"No",14,0.07
"South",14287,2627.2,1194.3,67.9,22.9,4,"No",15,0.15
"East",13570,7581.3,3732,23,36.2,2,"No",28,0.09
"North",12069,7760.4,3958.7,19.5,7.4,7,"Yes",23,0.04
"South",14120,2001,3006.7,42.7,23.1,5,"Yes",24,0.03
"North",9701,3521.8,2351.3,16.2,45.5,7,"No",29,0.11
"South",14120,1351.1,3397.4,44.7,7.7,3,"Yes",23,0.04
"North",14949,1689.6,1852.2,87,32.4,6,"Yes",17,0.17
"South",8910,7223.3,1137.4,89.1,45.4,4,"No",17,0.24
"North",13569,5177.5,3500.2,53.6,54.5,3,"Yes",23,0.08
"East",5190,3961.8,2591.8,18.4,42.1,2,"No",3,0.07
"North",10607,5330.8,1455.8,86.6,57.6,4,"Yes",30,0.25
"South",11311,491.1,3662,81.7,38.8,6,"No",21,0.02
"East",9547,4155.2,2351.3,12.4,36.2,3,"Yes",17,0.05
"South",7776,3138.9,3157.8,86,12.8,7,"No",0,0.08
"West",8199,2282.8,727.7,25.9,8.6,1,"No",1,0.08
"South",7791,3138.9,444.5,66.7,6.8,3,"Yes",17,0.04
"West",5192,3501.1,2742.1,83.7,27,4,"No",3,0.05
"West",7521,5038.6,1045.3,15.5,32.2,7,"No",24,0.2
"East",9488,5355,296.5,12.3,38.4,5,"Yes",15,0.08
"North",10607,5015.3,2967.6,28.1,51.9,4,"Yes",23,0.05
"West",14662,1745.7,1331.6,87,9.6,4,"Yes",8,0.23
"North",14034,1863.4,1395.5,55.3,57.6,5,"No",10,0.2
"East",9551,3152.8,1804.9,69.7,46.1,4,"Yes",17,0.07
"North",11149,3851.2,3123.9,47.7,21.8,4,"Yes",24,0.13
"South",13415,4782.5,1015.8,45.2,12.5,6,"Yes",11,0.2
"North",8950,3915.7,1310.9,86.6,45.3,6,"Yes",11,0.18
"East",7607,6038.7,926.8,43.4,22.9,4,"Yes",27,0.03
"South",12879,7178.7,2292.3,89.1,33.7,7,"No",17,0.07
"North",11796,6410.4,2110.1,18.3,25.2,4,"Yes",15,0.17
"North",13123,6566.6,2510.1,29,54.9,6,"No",26,0.17
"East",5741,2301.4,534.8,78.6,25.9,5,"No",2,0.14
"North",13123,7932.4,2299.8,28.6,47.8,4,"Yes",7,0.08
"North",8337,4246.8,140.1,76.7,30,3,"Yes",7,0.03
"South",9996,341.3,3730.2,62.9,56.9,4,"Yes",13,0.14
"West",8147,5922.4,1053.3,18.1,6.7,7,"No",25,0.13
"North",9290,3118,1685.2,58.5,50.6,4,"No",9,0.21
"South",12726,6760.1,2510.1,88.4,37,7,"No",0,0.1
"South",7881,3977.9,444.5,34.9,5.9,2,"No",16,0.07
"North",7582,5055.2,615.3,15.5,46.1,7,"Yes",2,0.03
"South",8042,3535.3,1886.1,57.1,50.8,5,"Yes",17,0.11
"South",7027,3464.7,503.6,18.8,48.4,6,"Yes",8,0.16
"North",9136,6605.6,3457.7,83.5,33.9,3,"No",5,0.13
"South",11380,1818,2525.4,30.6,36.4,6,"No",26,0.22
"West",7825,2265.5,1556.4,48.6,43.5,7,"No",2,0.07
